"Policy","Setting","SubSetting","Value","InfoUrl","SupportedPlatform","SupportedSKUs","UnsupportedSKUs","Unique","Duplicate","Conflicting"
"CIS (L1) Admin Templates - System (4.10) - Windows 11 Intune 4.0.0","Include command line in process creation events","","Enabled","https://docs.microsoft.com/windows/client-management/mdm/policy-csp-admx-auditsettings#admx-auditsettings-includecmdline","windows10","Professional; Enterprise; Education; MultiSession; CloudN; 11SE; iotEnterprise; iotEnterpriseSEval; holographicForBusiness","Home; CPC; surfaceHub; hololens; hololensEnterprise","","x",""
"CIS (L1) Admin Templates - System (4.10) - Windows 11 Intune 4.0.0","Encryption Oracle Remediation","","Enabled","https://docs.microsoft.com/windows/client-management/mdm/policy-csp-admx-credssp#admx-credssp-allowencryptionoracle","windows10","Professional; Enterprise; Education; MultiSession; CloudN; 11SE; iotEnterprise; iotEnterpriseSEval; holographicForBusiness","Home; CPC; surfaceHub; hololens; hololensEnterprise","","x",""
"CIS (L1) Admin Templates - System (4.10) - Windows 11 Intune 4.0.0","","Protection Level: (Device)","Force Updated Clients","","windows10","Professional; Enterprise; Education; MultiSession; CloudN; 11SE; iotEnterprise; iotEnterpriseSEval; holographicForBusiness","Home; CPC; surfaceHub; hololens; hololensEnterprise","","x",""
"CIS (L1) Admin Templates - System (4.10) - Windows 11 Intune 4.0.0","Remote host allows delegation of non-exportable credentials","","Enabled","https://docs.microsoft.com/windows/client-management/mdm/policy-csp-credentialsdelegation#credentialsdelegation-remotehostallowsdelegationofnonexportablecredentials","windows10","Professional; Enterprise; Education; MultiSession; CloudN; 11SE; iotEnterprise; iotEnterpriseSEval","Home; CPC; surfaceHub; hololens; hololensEnterprise; holographicForBusiness","","x",""
"CIS (L1) Admin Templates - System (4.10) - Windows 11 Intune 4.0.0","Prevent automatic download of applications associated with device metadata","","Enabled","https://docs.microsoft.com/en-us/windows/client-management/mdm/policy-csp-deviceinstallation","windows10","Professional; Enterprise; Education; CloudN; 11SE; iotEnterprise; iotEnterpriseSEval","Home; MultiSession; CPC; surfaceHub; hololens; hololensEnterprise; holographicForBusiness","x","",""
"CIS (L1) Admin Templates - System (4.10) - Windows 11 Intune 4.0.0","Boot-Start Driver Initialization Policy","","Enabled","https://docs.microsoft.com/windows/client-management/mdm/policy-csp-system#system-bootstartdriverinitialization","windows10","Professional; Enterprise; Education; MultiSession; CloudN; CPC; 11SE; iotEnterprise; iotEnterpriseSEval","Home; surfaceHub; hololens; hololensEnterprise; holographicForBusiness","","x",""
"CIS (L1) Admin Templates - System (4.10) - Windows 11 Intune 4.0.0","","Choose the boot-start drivers that can be initialized:","Good, unknown and bad but critical","","windows10","Professional; Enterprise; Education; MultiSession; CloudN; CPC; 11SE; iotEnterprise; iotEnterpriseSEval","Home; surfaceHub; hololens; hololensEnterprise; holographicForBusiness","","x",""
"CIS (L1) Admin Templates - System (4.10) - Windows 11 Intune 4.0.0","Continue experiences on this device","","Disabled","https://docs.microsoft.com/windows/client-management/mdm/policy-csp-admx-grouppolicy#admx-grouppolicy-enablecdp","windows10","Professional; Enterprise; Education; MultiSession; CloudN; 11SE; iotEnterprise; iotEnterpriseSEval; holographicForBusiness","Home; CPC; surfaceHub; hololens; hololensEnterprise","x","",""
"CIS (L1) Admin Templates - System (4.10) - Windows 11 Intune 4.0.0","Turn off background refresh of Group Policy","","Disabled","https://docs.microsoft.com/windows/client-management/mdm/policy-csp-admx-grouppolicy#admx-grouppolicy-disablebackgroundpolicy","windows10","Professional; Enterprise; Education; MultiSession; CloudN; 11SE; iotEnterprise; iotEnterpriseSEval; holographicForBusiness","Home; CPC; surfaceHub; hololens; hololensEnterprise","x","",""
"CIS (L1) Admin Templates - System (4.10) - Windows 11 Intune 4.0.0","Turn off downloading of print drivers over HTTP","","Enabled","https://docs.microsoft.com/en-us/windows/client-management/mdm/policy-csp-connectivity#connectivity-disabledownloadingofprintdriversoverhttp","windows10","Professional; Enterprise; Education; CloudN; CPC; 11SE; iotEnterprise; iotEnterpriseSEval","Home; MultiSession; surfaceHub; hololens; hololensEnterprise; holographicForBusiness","","x",""
"CIS (L1) Admin Templates - System (4.10) - Windows 11 Intune 4.0.0","Turn off Internet download for Web publishing and online ordering wizards","","Enabled","https://docs.microsoft.com/en-us/windows/client-management/mdm/policy-csp-connectivity#connectivity-disableinternetdownloadforwebpublishingandonlineorderingwizards","windows10","Professional; Enterprise; Education; CloudN; CPC; 11SE; iotEnterprise; iotEnterpriseSEval","Home; MultiSession; surfaceHub; hololens; hololensEnterprise; holographicForBusiness","","x",""
